Duygu,TweetMetni
2,"Kindle2 hakkında merak ediyorum. İnceleme videoları izleyerek karar vermeye çalışıyorum."
4,"Kindle2'yi çok seviyorum! Okuma deneyimi benim için çok önemli ve Kindle2 bunu mükemmel yapıyor."
4,"Kindle2'nin tasarımı beni hayran bıraktı. Hem şık hem de kullanışlı bir cihaz!"
4,"Kindle2 almak için sabırsızlanıyorum! Yeni kitaplarımı bu harika cihazla okuyacağım."
2,"Her yerde karşılaşılan bu tür mutsuzluklar, insanların yaşam deneyimlerini çeşitlendirir ve düşündürür."
2,"Modern şehir yaşamı, hem olumlu hem de olumsuz yönleriyle insanları etkiler ve değişim fırsatları sunar."
2,"Şehirlerdeki farklı yaşam tarzları ve deneyimler, insanların bakış açılarını zenginleştirir ve çeşitlendirir."
0,"Buradan aldığım en geç kargoya verilen ürün oldu. Beklediğime de değmedi. Kumaş kalitesiz. En küçük beden bile oldukça büyük."
4,"Kindle2 ile okuma alışkanlığım değişti, artık daha fazla kitap okuyabiliyorum. Teşekkürler Kindle!"
4,"Kindle2'nin özellikleri beni şaşırttı! Bu kadar işlevsellik bir arada olabilir mi?"
0,"Benim boyun 171, 53 kiloyum, ama S bana coook buyuk geldi, oversize giyerim severim ama bu oversize gibi durmadi ki, sanki benim diyilmis gibi durdu, cox fazla genis, hic beyenmedim acikcasi. Bakude oldugum icin iade edemiyorum, birine hediyye veririm artik."
4,"Kindle2 ile aldığım her kitaptan keyif alıyorum. İyi ki bu cihazı edinmişim!"
4,"Kindle2, seyahatlerimde en büyük yardımcım oldu. Her zaman yanımda taşıyorum ve kitap okumak daha kolay ve keyifli hale geldi."
4,"Kindle2 ile gece geç saatlere kadar kitap okumak, benim için eğlenceli bir ritüel haline geldi!"
4,"Kindle2'nin performansı ve kullanım kolaylığı beni çok etkiledi. Artık kitapları daha hızlı ve verimli bir şekilde okuyabiliyorum."
